Epoch,Average Loss,Time (seconds)
1,0.07333389446903497,55.03989601135254
2,0.04298539012670517,55.73977208137512
3,0.038828679028994,56.01009511947632
4,0.03637932175818162,56.181559801101685
5,0.03480824215862995,56.2114782333374
6,0.03376845518365885,56.19936776161194
7,0.03303924571245145,56.15177917480469
8,0.03263781898296796,56.167142391204834
9,0.03210768830126677,56.176350355148315
10,0.0316511349991346,56.14223575592041
11,0.031602052096755075,56.22146272659302
12,0.03141410059653796,56.19822907447815
13,0.03104561329843142,56.212167501449585
14,0.030639615423786334,56.19955563545227
15,0.030361326296742146,56.196357011795044
16,0.030430881982812515,56.20053458213806
17,0.0301498330785678,56.20620799064636
18,0.030271618490417797,56.1902871131897
19,0.030167010506758324,56.19167518615723
20,0.030020203349682,56.22051215171814
21,0.029879798109714802,56.22626066207886
22,0.029602916227319302,56.18563985824585
23,0.0295799702921739,56.2081937789917
24,0.029387363311954035,56.18011713027954
25,0.029613725793285247,56.17270469665527
